Elapsed Time (s),Temperature (°C),Clock Speed (MHz),Voltage Core (V)
698,53.2,1000,1.2063
699,53.7,1000,1.2063
700,52.6,1000,1.2063
701,52.6,1000,1.2063
702,52.6,1000,1.2063
703,52.6,1000,1.2063
704,53.2,1000,1.2063
705,53.2,1000,1.2063
706,53.2,1000,1.2063
707,52.6,1000,1.2063
708,53.2,999,1.2063
709,52.6,1000,1.2063
710,53.2,1000,1.2063
711,53.2,1000,1.2063
712,53.7,1000,1.2063
713,53.2,1000,1.2063
714,52.6,1000,1.2063
715,53.7,1000,1.2063
717,52.6,1000,1.2063
718,52.6,1000,1.2063
719,53.7,1000,1.2063
720,52.6,1000,1.2063
721,52.6,1000,1.2063
722,53.7,1000,1.2063
723,53.2,1000,1.2063
724,53.7,1000,1.2063
725,53.2,1000,1.2063
726,53.2,1000,1.2063
727,53.2,1000,1.2063
728,53.2,1000,1.2063
729,53.2,1000,1.2063
730,53.7,1000,1.2063
731,53.2,1000,1.2063
732,53.2,1000,1.2063
733,53.2,1000,1.2063
734,53.2,1000,1.2063
736,53.2,1000,1.2063
737,53.2,1000,1.2063
738,53.2,1000,1.2063
739,53.7,1000,1.2063
740,53.7,1000,1.2063
741,52.6,1000,1.2063
742,53.2,1000,1.2063
743,53.7,1000,1.2063
744,53.7,1000,1.2063
745,53.7,1000,1.2063
746,53.7,1000,1.2063
747,53.7,1000,1.2063
748,53.2,1000,1.2063
749,53.2,1000,1.2063
750,53.7,1000,1.2063
751,53.2,1000,1.2063
752,53.2,1000,1.2063
753,53.7,1000,1.2063
755,53.7,1000,1.2063
756,52.6,1000,1.2063
757,53.7,1000,1.2063
758,53.7,1000,1.2063
759,53.7,1000,1.2063
760,53.7,1000,1.2063
761,53.7,1000,1.2063
762,53.7,1000,1.2063
763,53.7,1000,1.2063
764,53.2,1000,1.2063
765,53.7,1000,1.2063
766,53.7,1000,1.2063
767,53.7,1000,1.2063
768,53.7,1000,1.2063
769,53.7,1000,1.2063
770,53.7,1000,1.2063
771,53.7,1000,1.2063
772,53.7,1000,1.2063
773,53.7,1000,1.2063
775,53.7,1000,1.2063
776,53.7,1000,1.2063
777,53.7,1000,1.2063
778,53.7,1000,1.2063
779,54.2,1000,1.2063
780,53.7,1000,1.2063
781,53.7,1000,1.2063
782,53.7,1000,1.2063
783,53.7,1000,1.2063
784,53.7,1000,1.2063
785,53.7,1000,1.2063
786,53.7,1000,1.2063
787,53.7,1000,1.2063
788,53.7,1000,1.2063
789,53.7,1000,1.2063
790,54.2,1000,1.2063
791,53.7,1000,1.2063
792,53.7,1000,1.2063
794,53.7,1000,1.2063
795,53.7,1000,1.2063
796,53.7,1000,1.2063
797,53.7,1000,1.2063
798,53.7,1000,1.2063
799,54.2,1000,1.2063
800,53.7,1000,1.2063
801,53.7,1000,1.2063
802,53.7,1000,1.2063
803,53.7,1000,1.2063
804,54.2,1000,1.2063
805,54.2,1000,1.2063
806,54.2,1000,1.2063
807,53.7,1000,1.2063
808,53.7,1000,1.2063
809,53.7,1000,1.2063
810,53.7,1000,1.2063
811,53.7,1000,1.2063
812,54.2,1000,1.2063
814,53.7,1000,1.2063
815,54.2,1000,1.2063
816,53.7,1000,1.2063
817,53.7,1000,1.2063
818,53.7,1000,1.2063
819,53.7,1000,1.2063
820,53.7,1000,1.2063
821,54.2,1000,1.2063
822,54.8,1000,1.2063
823,54.2,1000,1.2063
824,53.7,1000,1.2063
825,53.7,1000,1.2063
826,54.2,1000,1.2063
827,53.7,1000,1.2063
828,54.2,1000,1.2063
829,54.2,1000,1.2063
830,53.7,1000,1.2063
831,54.2,1000,1.2063
832,54.2,1000,1.2063
833,54.2,1000,1.2063
835,54.8,1000,1.2063
836,53.7,999,1.2063
837,54.2,1000,1.2063
838,53.7,1000,1.2063
839,54.2,1000,1.2063
840,54.2,1000,1.2063
841,54.8,1000,1.2063
842,54.2,1000,1.2063
843,54.2,1000,1.2063
844,53.7,1000,1.2063
845,54.2,1000,1.2063
846,54.2,1000,1.2063
847,53.7,1000,1.2063
848,53.7,1000,1.2063
849,54.2,1000,1.2063
850,54.2,1000,1.2063
851,54.2,1000,1.2063
852,54.2,1000,1.2063
853,53.7,1000,1.2063
855,54.8,1000,1.2063
856,54.2,1000,1.2063
857,53.7,1000,1.2063
858,54.2,1000,1.2063
859,53.7,1000,1.2063
860,53.7,1000,1.2063
861,54.2,1000,1.2063
862,54.2,1000,1.2063
863,54.2,999,1.2063
864,54.2,1000,1.2063
865,54.8,1000,1.2063
866,54.8,1000,1.2063
867,54.2,1000,1.2063
868,54.2,1000,1.2063
869,54.2,1000,1.2063
870,54.2,1000,1.2063
871,54.2,1000,1.2063
872,54.2,1000,1.2063
873,54.2,1000,1.2063
875,54.2,1000,1.2063
876,54.8,1000,1.2063
877,54.8,1000,1.2063
878,54.2,1000,1.2063
879,54.2,1000,1.2063
880,54.8,1000,1.2063
881,54.8,1000,1.2063
882,53.7,1000,1.2063
883,54.8,1000,1.2063
884,54.2,1000,1.2063
885,53.7,1000,1.2063
886,54.8,999,1.2063
887,54.8,1000,1.2063
888,54.2,1000,1.2063
889,54.8,1000,1.2063
890,54.2,1000,1.2063
891,54.2,1000,1.2063
892,54.2,1000,1.2063
893,54.2,1000,1.2063
895,54.8,1000,1.2063
896,54.8,1000,1.2063
897,53.7,1000,1.2063
898,54.8,1000,1.2063
899,54.8,1000,1.2063
900,54.8,1000,1.2063
901,54.8,1000,1.2063
902,54.8,1000,1.2063
903,54.8,1000,1.2063
904,55.3,1000,1.2063
905,54.8,1000,1.2063
906,54.8,999,1.2063
907,54.8,1000,1.2063
908,54.8,1000,1.2063
909,54.8,1000,1.2063
910,54.8,1000,1.2063
911,54.8,1000,1.2063
912,54.8,1000,1.2063
914,54.8,1000,1.2063
915,54.8,1000,1.2063
916,54.8,1000,1.2063
917,54.8,1000,1.2063
918,54.8,1000,1.2063
919,54.8,1000,1.2063
920,54.8,1000,1.2063
921,54.8,999,1.2063
922,54.8,1000,1.2063
923,54.8,999,1.2063
924,54.8,1000,1.2063
925,54.8,1000,1.2063
926,54.2,999,1.2063
927,54.8,1000,1.2063
928,54.8,999,1.2063
929,54.8,1000,1.2063
930,55.3,1000,1.2063
931,54.8,1000,1.2063
